,ISBN,title,author,publish_year,image_url,avg_rating,num_of_ratings
0,0440234743,The Testament,John Grisham,1999,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,3.085308056872038,422
1,0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,3.411111111111111,180
2,0971880107,Wild Animus,Rich Shapero,2004,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,1.0195843325339728,2502
3,0345402871,Airframe,Michael Crichton,1997,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,2.845410628019324,207
4,0345417623,Timeline,MICHAEL CRICHTON,2000,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,3.7616707616707616,407
5,0446310786,To Kill a Mockingbird,Harper Lee,1988,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,4.920308483290489,389
6,0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,4.138211382113822,246
7,0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,1.9428571428571428,140
8,0553582747,From the Corner of His Eye,Dean Koontz,2001,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,3.4909090909090907,165
9,0425182908,Isle of Dogs,Patricia Cornwell,2002,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,1.8669950738916257,203
10,042518630X,Purity in Death,J.D. Robb,2002,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,2.3207547169811322,106
11,0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,2.883720930232558,129
12,0440225701,The Street Lawyer,JOHN GRISHAM,1999,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,2.6754617414248023,379
13,042511774X,Breathing Lessons,Anne Tyler,1994,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg,1.8705882352941177,170
14,0804106304,The Joy Luck Club,Amy Tan,1994,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,3.0635838150289016,519
15,0140067477,The Tao of Pooh,Benjamin Hoff,1983,http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg,4.296296296296297,189
16,0345465083,Seabiscuit,LAURA HILLENBRAND,2003,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg,2.732620320855615,187
17,1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,http://images.amazon.com/images/P/1558531025.01.MZZZZZZZ.jpg,3.651685393258427,89
18,0441783589,Starship Troopers,Robert A. Heinlein,1987,http://images.amazon.com/images/P/0441783589.01.MZZZZZZZ.jpg,3.151898734177215,79
19,0316769487,The Catcher in the Rye,J.D. Salinger,1991,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,4.635235732009925,403
20,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg,3.159090909090909,264
21,0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg,2.5838150289017343,173
22,0451166892,The Pillars of the Earth,Ken Follett,1996,http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg,3.2017543859649122,228
23,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,http://images.amazon.com/images/P/067976397X.01.MZZZZZZZ.jpg,2.3135593220338984,118
24,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,4.543325526932084,427
25,0446608653,The Alibi,Sandra Brown,2000,http://images.amazon.com/images/P/0446608653.01.MZZZZZZZ.jpg,1.975,80
26,0446612545,The Beach House,James Patterson,2003,http://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg,3.098859315589354,263
